Hour,Pb,Ppv,Pd,Ppvmax,Ps,Pc,SOC,SpotPrice,npv
7915,0.0,0.0,2000.0,0.0,1000.0,0.0,19310.59031379091,786.4704237,30259297.804085962
7916,0.0,0.0,2000.0,0.0,1000.0,0.0,17232.452325428487,796.4704237,30259297.804085962
7917,0.0,0.0,2000.0,0.0,1000.0,0.0,15154.314337066058,786.4704237,30259297.804085962
7918,0.0,0.0,2000.0,0.0,1000.0,0.0,13076.176348703631,786.4704237,30259297.804085962
7919,0.0,0.0,1501.1167433611954,0.0,501.1167433611954,0.0,11516.412484030732,776.4704237,30259297.804085962
7920,0.0,0.0,1000.0,0.0,0.0,0.0,10477.343489849518,656.4704237,30259297.804085962
7921,0.0,0.0,1000.0,0.0,0.0,0.0,9438.274495668305,593.8203023,30259297.804085962
7922,0.0,0.0,1000.0,0.0,0.0,0.0,8399.205501487091,593.8203023,30259297.804085962
7923,0.0,0.0,1000.0,0.0,0.0,0.0,7360.136507305878,592.8203023,30259297.804085962
7924,0.0,0.0,1000.0,0.0,0.0,0.0,6321.067513124664,592.8203023,30259297.804085962
7925,0.0,0.0,1000.0,0.0,0.0,0.0,5281.998518943451,593.8203023,30259297.804085962
7926,0.0,0.0,1000.0,0.0,0.0,0.0,4242.929524762238,593.8203023,30259297.804085962
7927,0.0,0.0,1000.0,0.0,0.0,0.0,3203.8605305810242,593.8203023,30259297.804085962
7928,0.0,0.0,1000.0,0.0,0.0,0.0,2164.7915363998104,593.8203023,30259297.804085962
7929,0.0,0.0,1000.0,0.0,0.0,0.0,1125.7225422185968,593.8203023,30259297.804085962
7930,0.0,1762.8208839178687,0.0,1762.8208839178687,762.820883917871,0.0,1125.7225422185968,593.8203023,30259297.804085962
7931,0.0,3505.8759654349806,0.0,3505.8759654349806,0.0,2505.8759654349706,3537.3775713531722,593.8203023,30259297.804085962
7932,0.0,5528.824941251393,0.0,5528.824941251393,751.814177361735,3777.0107638896734,7172.372730520594,593.8203023,30259297.804085962
7933,0.0,5941.8547870314615,0.0,6426.849212293063,1000.0,3941.854787031461,10966.013777559672,593.8203023,30259297.804085962
7934,0.0,5941.8547870314615,0.0,6002.919420761414,1000.0,3941.854787031461,14759.65482459875,593.8203023,30259297.804085962
7935,0.0,5381.207120433918,0.0,5381.207120433918,1000.0,3381.2071204339154,18013.728557304363,593.8203023,30259297.804085962
7936,0.0,4391.796434484235,0.0,4391.796434484235,1000.0,2391.796434484235,20315.593445851948,643.8203023,30259297.804085962
7937,0.0,3115.0611557579086,0.0,3115.0611557579086,1000.0,1115.0611557579086,21388.72830215334,643.8203023,30259297.804085962
7938,0.0,1066.7422184011252,326.23707772680063,1066.7422184011252,392.97929612792495,0.0,21049.745469935136,683.8203023,30259297.804085962
7939,0.0,0.0,2000.0,0.0,1000.0,0.0,18971.60748157271,713.8203023,30259297.804085962
7940,0.0,0.0,2000.0,0.0,1000.0,0.0,16893.469493210283,713.8203023,30259297.804085962
7941,0.0,0.0,2000.0,0.0,1000.0,0.0,14815.331504847854,713.8203023,30259297.804085962
7942,0.0,0.0,2000.0,0.0,1000.0,0.0,12737.193516485395,683.8203023,30259297.804085962
7943,0.0,0.0,1000.0,0.0,0.0,0.0,11698.12452230418,673.8203023,30259297.804085962
7944,0.0,0.0,1000.0,0.0,0.0,0.0,10659.055528122968,613.8203023,30259297.804085962
7945,0.0,0.0,1000.0,0.0,0.0,0.0,9619.986533941754,644.0543309,30259297.804085962
7946,0.0,0.0,1000.0,0.0,0.0,0.0,8580.91753976054,644.0543309,30259297.804085962
7947,0.0,0.0,1000.0,0.0,0.0,0.0,7541.848545579326,644.0543309,30259297.804085962
7948,0.0,0.0,1000.0,0.0,0.0,0.0,6502.779551398113,644.0543309,30259297.804085962
7949,0.0,0.0,1000.0,0.0,0.0,0.0,5463.710557216899,644.0543309,30259297.804085962
7950,0.0,0.0,1000.0,0.0,0.0,0.0,4424.641563035686,644.5543309,30259297.804085962
7951,0.0,0.0,1000.0,0.0,0.0,0.0,3385.572568854472,644.0543309,30259297.804085962
7952,0.0,0.0,1000.0,0.0,0.0,0.0,2346.5035746732583,604.0543309,30259297.804085962
7953,0.0,0.0,1000.0,0.0,0.0,0.0,1307.434580492045,604.0543309,30259297.804085962
7954,0.0,1728.2885580162017,0.0,1728.2885580162017,0.0,728.2885580162017,2008.3394887268369,604.0543309,30259297.804085962
7955,0.0,3871.030243901152,0.0,3871.030243901152,0.0,2871.030243901152,4771.418995457294,604.0543309,30259297.804085962
7956,0.0,4544.004338910919,0.0,4544.004338910919,0.0,3544.0043389109187,8182.168771225144,604.0543309,30259297.804085962
7957,0.0,5249.9451450177585,0.0,5249.9451450177585,308.09035798630794,3941.854787031461,11975.809818264213,604.0543309,30259297.804085962
7958,0.0,5264.46259753344,0.0,5264.46259753344,1000.0,3264.46259753344,15117.52862213034,644.0543309,30259297.804085962
7959,0.0,5076.595604096161,0.0,5076.595604096161,1000.0,3076.595604096161,18078.444231512432,654.0543309,30259297.804085962
7960,0.0,4238.159309927293,0.0,4238.159309927293,1000.0,2238.159309927293,20232.44875138646,654.0543309,30259297.804085962
7961,0.0,3201.45422980766,0.0,3201.45422980766,1000.0,1201.4542298076599,21388.72830215334,654.0543309,30259297.804085962
7962,0.0,1096.4175981188648,0.0,1096.4175981188648,96.41759811886004,0.0,21388.72830215334,691.0643309,30259297.804085962
7963,0.0,0.0,2000.0,0.0,1000.0,0.0,19310.59031379091,954.0543309,30259297.804085962
